Method,Steps,Average,Max,Min,StdDev
alpha,1,0.040795344444444444,0.0707657,0.0165532,0.01523428589164903
alpha,2,0.0060742625,0.0244112,0.0,0.006831528247469064
alpha,3,0.0023919107142857145,0.0156217,0.0,0.004331148503516196
alpha,4,0.0003435861111111111,0.0080761,0.0,0.0014161170811468494
alpha,5,0.00026926,0.0080778,0.0,0.0014747977583384102
alpha,6,0.0,0.0,0.0,0.0
alpha,7,0.0,0.0,0.0,0.0
alpha,8,0.0,0.0,0.0,0.0
alpha,9,0.0,0.0,0.0,0.0
minmax,1,0.49281922222222224,0.5405754,0.4314918,0.02972347598577806
minmax,2,0.061325490625,0.0833416,0.0456945,0.00820885484663574
minmax,3,0.008992567857142858,0.0183472,0.0021364,0.003365576504360932
minmax,4,0.00103115,0.0081439,0.0,0.002307349095700209
minmax,5,0.0006090799999999999,0.0080664,0.0,0.002057730535691503
minmax,6,0.0,0.0,0.0,0.0
minmax,7,0.0004471222222222222,0.0080482,0.0,0.0018969789321151907
minmax,8,0.0,0.0,0.0,0.0
minmax,9,0.0,0.0,0.0,0.0
